MC	<p>001. b4e1</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 8a33</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #843232;">animal</span> polysaccharide that contains &alpha;-glycosidic linkages'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 5813</p> <p>Which one of the following polysaccharides correspond to the description <strong>'linear chain of glucose with &alpha;-glycosidic linkages and no branches'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct
MC	<p>001. 069a</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> form of glucose in some <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect
MC	<p>001. ae01</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> material in arthropods and fungi'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 7789</p> <p>Which one of the following polysaccharides correspond to the description <strong>'polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	D. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 5b69</p> <p>Which one of the following polysaccharides correspond to the description <strong>'branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 1773</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #843232;">animal</span> polysaccharide that contains &beta;-glycosidic linkages'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 8481</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct
MC	<p>001. f0ab</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #843232;">animal</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. ed87</p> <p>Which one of the following polysaccharides correspond to the description <strong>'unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. f0ab</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #843232;">animal</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 8481</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> material in <span style="color: #5A8432;">plant</span> <span style="color: #b45918;">cell walls</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 72a7</p> <p>Which one of the following polysaccharides correspond to the description <strong>'carbohydrate polymer that used for <span style="color: #AA693A;">structural</span> purposes by some <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect
MC	<p>001. 6a48</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> form of glucose in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. b4e1</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct
MC	<p>001. ed87</p> <p>Which one of the following polysaccharides correspond to the description <strong>'unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 6701</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 6701</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct
MC	<p>001. 920c</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched polymer of &alpha;-linked glucose units found in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 2f00</p> <p>Which one of the following polysaccharides correspond to the description <strong>'moderately branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct
MC	<p>001. 6701</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct
MC	<p>001. 9e6b</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct
MC	<p>001. a0eb</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect
MC	<p>001. ed87</p> <p>Which one of the following polysaccharides correspond to the description <strong>'unbranched energy <span style="color: #693AAA;">storage</span> in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect
MC	<p>001. 7789</p> <p>Which one of the following polysaccharides correspond to the description <strong>'polymer of &beta;-linked glucose units found in some <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct
MC	<p>001. 2bd1</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched polymer of &alpha;-linked glucose units found in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct
MC	<p>001. 1773</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #843232;">animal</span> polysaccharide that contains &beta;-glycosidic linkages'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	B. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. ae01</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #AA693A;">structural</span> material in arthropods and fungi'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect
MC	<p>001. 6869</p> <p>Which one of the following polysaccharides correspond to the description <strong>'major <span style="color: #AA693A;">structural</span> component of arthopod (e.g., insects) exoskeletons'</strong>.</p>	A. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct
MC	<p>001. a0eb</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched energy <span style="color: #693AAA;">storage</span> in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct
