MC	<p>001. 6701</p> <p>Which one of the following polysaccharides correspond to the description <strong>'highly branched glucose polymer found in <span style="color: #5A8432;">plants</span> that is readily digested by humans and other mammals'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 6869</p> <p>Which one of the following polysaccharides correspond to the description <strong>'major <span style="color: #AA693A;">structural</span> component of arthopod (e.g., insects) exoskeletons'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Correct	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. 369f</p> <p>Which one of the following polysaccharides correspond to the description <strong>'also know as resistant starch, because it has no branches and it is resistant to digestion'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect
MC	<p>001. 9e6b</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #5A8432;">plant</span> molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 3acd</p> <p>Which one of the following polysaccharides correspond to the description <strong>'polymer of &beta;-linked glucose units found in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 5813</p> <p>Which one of the following polysaccharides correspond to the description <strong>'linear chain of glucose with &alpha;-glycosidic linkages and no branches'</strong>.</p>	A. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	E. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 3acd</p> <p>Which one of the following polysaccharides correspond to the description <strong>'polymer of &beta;-linked glucose units found in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect
MC	<p>001. e093</p> <p>Which one of the following polysaccharides correspond to the description <strong>'major <span style="color: #AA693A;">structural</span> component of <span style="color: #b45918;">cell walls</span>'</strong>.</p>	A. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 5813</p> <p>Which one of the following polysaccharides correspond to the description <strong>'linear chain of glucose with &alpha;-glycosidic linkages and no branches'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Correct
MC	<p>001. e093</p> <p>Which one of the following polysaccharides correspond to the description <strong>'major <span style="color: #AA693A;">structural</span> component of <span style="color: #b45918;">cell walls</span>'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	D. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Correct	E. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect
MC	<p>001. 5b69</p> <p>Which one of the following polysaccharides correspond to the description <strong>'branched <span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #5A8432;">plants</span>'</strong>.</p>	A. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Correct	C. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	D. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Incorrect	E. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect
MC	<p>001. b4e1</p> <p>Which one of the following polysaccharides correspond to the description <strong>'<span style="color: #693AAA;">storage</span> form of glucose in <span style="color: #843232;">animals</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;"><strong>chitin</strong></span>&nbsp; 	Incorrect	B. <span style="color: DarkRed;"><strong>amylopectin</strong></span>&nbsp; 	Incorrect	C. <span style="color: Indigo;"><strong>cellulose</strong></span>&nbsp; 	Incorrect	D. <span style="color: SteelBlue;"><strong>amylose</strong></span>&nbsp; 	Incorrect	E. <span style="color: DarkGreen;"><strong>glycogen</strong></span>&nbsp; 	Correct
