MC	<p>001. f1f5</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #0000b3;">exons</span> are joined together	Correct	B. reverse transcription of the mRNA	Incorrect	C. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. a cap is placed on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>002. 40e9</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #0000b3;">exons</span> are spliced together	Correct	B. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #008080;">last nucleotide</span>	Incorrect	C. reverse transcription of the mRNA	Incorrect	D. <span style="color: #4d4d00;">poly-guanidinylation</span> at the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>003. e522</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. reverse transcription of the mRNA	Incorrect	C. <span style="color: #b30059;">non-coding</span> sections of the RNA are removed	Correct	D. a <span style="color: #00802b;">modified adenosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect
MC	<p>004. c99e</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #00802b;">poly-adenylation</span> at the <span style="color: #008080;">3&prime; end</span>	Correct	B. <span style="color: #b30059;">non-coding</span> sections are fused together	Incorrect	C. mRNA proofreading	Incorrect	D. a <span style="color: #00802b;">modified adenosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect
MC	<p>005. 2e58</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #4d4d00;">poly-guanidinylation</span> at the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. <span style="color: #0000b3;">exons</span> are fused together	Correct	C. a <span style="color: #00802b;">modified adenosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	D. reverse transcription of the mRNA	Incorrect
MC	<p>006. 849b</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #4d4d00;">poly-guanidinylation</span> at the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. reverse transcription of the mRNA	Incorrect	C. a cap is placed on the <span style="color: #86592d;">5&prime; end</span>	Correct	D. removal the intervening,<span style="color: #0000b3;"> coding</span> sequences	Incorrect
MC	<p>007. a3b2</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #86592d;">5&prime; end</span> capping	Correct	B. <span style="color: #b30059;">non-coding</span> sections are joined together	Incorrect	C. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. reverse transcription of the mRNA	Incorrect
MC	<p>008. 380a</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #b30059;">introns</span> are fused together	Incorrect	B. <span style="color: #00802b;">poly-adenylation</span> at the <span style="color: #008080;">3&prime; end</span>	Correct	C. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. mRNA proofreading	Incorrect
MC	<p>009. 7dad</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #b30059;">introns</span> are fused together	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">first nucleotide</span>	Correct	C. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. mRNA proofreading	Incorrect
MC	<p>010. 95af</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #b30059;">introns</span> are spliced together	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. RNA splicing	Correct	D. addition of a <span style="color: #86592d;">5&prime; end</span> <span style="color: #00802b;">poly-adenylation</span>	Incorrect
MC	<p>011. 592a</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #b30059;">introns</span> are stuck back together	Incorrect	B. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. RNA splicing	Correct	D. addition of a cap on the <span style="color: #008080;">3&prime; end</span>	Incorrect
